date,book_value_of_equity_per_share
"Dec. 31, 2019",76.62
"Sept. 30, 2019",82.42
"June 30, 2019",82.38
"March 31, 2019",81.40
"Dec. 31, 2018",81.22
"Sept. 30, 2018",80.37
"June 30, 2018",79.43
"March 31, 2018",78.68
"Dec. 31, 2017",77.77
"Sept. 30, 2017",77.24
"June 30, 2017",77.15
"March 31, 2017",77.38
"Dec. 31, 2016",76.95
"Sept. 30, 2016",77.76
"June 30, 2016",78.01
"March 31, 2016",79.75
"Dec. 31, 2015",81.11
"Sept. 30, 2015",82.31
"June 30, 2015",82.19
"March 31, 2015",82.85
"Dec. 31, 2014",82.48
"Sept. 30, 2014",82.60
"June 30, 2014",80.88
"March 31, 2014",79.14
"Dec. 31, 2013",77.92
"Sept. 30, 2013",75.28
"June 30, 2013",73.93
"March 31, 2013",72.27
"Dec. 31, 2012",70.13
"Sept. 30, 2012",67.92
"June 30, 2012",66.25
"March 31, 2012",63.61
"Dec. 31, 2011",61.27
"Sept. 30, 2011",60.70
"June 30, 2011",57.74
"March 31, 2011",54.77
"Dec. 31, 2010",52.34
"Sept. 30, 2010",50.81
"June 30, 2010",49.52
"March 31, 2010",47.47
"Dec. 31, 2009",45.78
"Sept. 30, 2009",45.18
"June 30, 2009",43.86
"March 31, 2009",43.55
"Dec. 31, 2008",43.23
"Sept. 30, 2008",42.80
"June 30, 2008",40.04
"March 31, 2008",38.29
"Dec. 31, 2007",36.88
"Sept. 30, 2007",35.49
"June 30, 2007",34.80
"March 31, 2007",33.25
"Dec. 31, 2006",31.85
"Sept. 30, 2006",31.93
"June 30, 2006",30.44
"March 31, 2006",29.25
"Dec. 31, 2005",28.07
"Sept. 30, 2005",26.81
"June 30, 2005",23.29
"March 31, 2005",22.21
"Dec. 31, 2004",21.47
"Sept. 30, 2004",20.22
"June 30, 2004",19.26
"March 31, 2004",17.83
"Dec. 31, 2003",16.97
"Sept. 30, 2003",16.49
"June 30, 2003",15.95
"March 31, 2003",15.36
"Dec. 31, 2002",14.79
"Sept. 30, 2002",15.04
"June 30, 2002",15.80
"March 31, 2002",15.98
"Dec. 31, 2001",15.91
"Sept. 30, 2001",17.90
"June 30, 2001",17.30
"March 31, 2001",16.56
"Dec. 31, 2000",25.79
"Sept. 30, 2000",14.74
"June 30, 2000",14.36
"March 31, 2000",13.81
"Dec. 31, 1999",22.47
"Sept. 30, 1999",13.20
"June 30, 1999",13.07
"March 31, 1999",13.12
"Dec. 31, 1998",13.04
"Sept. 30, 1998",13.48
"June 30, 1998",13.50
"March 31, 1998",13.36
"Dec. 31, 1997",13.32
"Sept. 30, 1997",12.98
"June 30, 1997",12.64
"March 31, 1997",12.35
"Dec. 31, 1996",11.96
"Sept. 30, 1996",11.88
"June 30, 1996",11.64
"March 31, 1996",11.24
"Dec. 31, 1995",11.00
"Sept. 30, 1995",11.60
"June 30, 1995",11.73
"March 31, 1995",11.45
"Dec. 31, 1994",11.20
"Sept. 30, 1994",10.98
"June 30, 1994",10.89
"March 31, 1994",10.88
"Dec. 31, 1993",10.74
