date,days_inventory_outstanding
"Dec. 31, 2019",82.56
"Sept. 30, 2019",81.84
"June 30, 2019",91.09
"March 31, 2019",84.12
"Dec. 31, 2018",75.56
"Sept. 30, 2018",80.66
"June 30, 2018",90.00
"March 31, 2018",84.55
"Dec. 31, 2017",90.46
"Sept. 30, 2017",88.84
"June 30, 2017",100.49
"March 31, 2017",98.98
"Dec. 31, 2016",85.14
"Sept. 30, 2016",91.04
"June 30, 2016",116.37
"March 31, 2016",111.59
"Dec. 31, 2015",130.56
"Sept. 30, 2015",88.28
"June 30, 2015",95.53
"March 31, 2015",87.53
"Dec. 31, 2014",115.17
"Sept. 30, 2014",76.81
"June 30, 2014",80.79
"March 31, 2014",75.91
"Dec. 31, 2013",85.89
"Sept. 30, 2013",79.78
"June 30, 2013",77.36
"March 31, 2013",78.30
"Dec. 31, 2012",109.37
"Sept. 30, 2012",49.80
"June 30, 2012",74.65
"March 31, 2012",73.55
"Dec. 31, 2011",28.00
"Sept. 30, 2011",93.22
"June 30, 2011",98.07
"March 31, 2011",90.81
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",107.79
"March 31, 2010",101.11
"Dec. 31, 2009",121.29
"Sept. 30, 2009",111.78
"June 30, 2009",121.19
"March 31, 2009",89.00
"Dec. 31, 2008",82.36
"Sept. 30, 2008",69.55
"June 30, 2008",79.90
"March 31, 2008",72.57
"Dec. 31, 2007",89.28
"Sept. 30, 2007",70.58
"June 30, 2007",85.82
"March 31, 2007",97.50
"Dec. 31, 2006",110.29
"Sept. 30, 2006",95.80
"June 30, 2006",84.26
"March 31, 2006",195.43
"Dec. 31, 2005",-14.94
"Sept. 30, 2005",104.19
"June 30, 2005",25.87
"March 31, 2005",24.87
"Dec. 31, 2004",26.69
"Sept. 30, 2004",28.10
"June 30, 2004",24.74
"March 31, 2004",23.36
"Dec. 31, 2003",33.72
"Sept. 30, 2003",32.56
"June 30, 2003",31.97
"March 31, 2003",23.49
"Dec. 31, 2002",34.71
"Sept. 30, 2002",59.71
"June 30, 2002",74.48
"March 31, 2002",75.04
"Dec. 31, 2001",38.15
"Sept. 30, 2001",51.00
"June 30, 2001",5.253
"March 31, 2001",4.549
"Dec. 31, 2000",-3.529
"Sept. 30, 2000",5.505
"June 30, 2000",7.071
"March 31, 2000",10.17
"Dec. 31, 1999",12.15
"Sept. 30, 1999",11.08
"June 30, 1999",15.33
"March 31, 1999",18.66
"Dec. 31, 1998",18.72
"Sept. 30, 1998",13.68
"June 30, 1998",18.09
"March 31, 1998",15.59
"Dec. 31, 1997",13.41
"Sept. 30, 1997",13.21
"June 30, 1997",20.19
"March 31, 1997",14.96
"Dec. 31, 1996",15.15
"Sept. 30, 1996",17.96
"June 30, 1996",23.64
"March 31, 1996",107.57
"Dec. 31, 1995",8.818
"Sept. 30, 1995",89.25
"June 30, 1995",110.25
"March 31, 1995",106.77
"Dec. 31, 1994",97.28
"Sept. 30, 1994",75.69
"June 30, 1994",78.47
