date,long_term_debt
"Dec. 31, 2019",54.02B
"Sept. 30, 2019",54.82B
"June 30, 2019",54.34B
"March 31, 2019",53.68B
"Dec. 31, 2018",50.18B
"Sept. 30, 2018",50.51B
"June 30, 2018",49.86B
"March 31, 2018",49.03B
"Dec. 31, 2017",49.04B
"Sept. 30, 2017",48.93B
"June 30, 2017",46.04B
"March 31, 2017",47.02B
"Dec. 31, 2016",45.58B
"Sept. 30, 2016",43.96B
"June 30, 2016",39.93B
"March 31, 2016",38.23B
"Dec. 31, 2015",36.84B
"Sept. 30, 2015",37.67B
"June 30, 2015",36.80B
"March 31, 2015",37.17B
"Dec. 31, 2014",37.06B
"Sept. 30, 2014",38.70B
"June 30, 2014",38.71B
"March 31, 2014",39.00B
"Dec. 31, 2013",38.15B
"Sept. 30, 2013",37.40B
"June 30, 2013",37.36B
"March 31, 2013",36.34B
"Dec. 31, 2012",36.35B
"Sept. 30, 2012",36.11B
"June 30, 2012",18.45B
"March 31, 2012",19.03B
"Dec. 31, 2011",18.68B
"Sept. 30, 2011",17.58B
"June 30, 2011",17.69B
"March 31, 2011",17.23B
"Dec. 31, 2010",17.94B
"June 30, 2010",17.22B
"March 31, 2010",16.28B
"Dec. 31, 2009",16.11B
"Sept. 30, 2009",15.41B
"June 30, 2009",14.43B
"March 31, 2009",14.57B
"Dec. 31, 2008",13.25B
"Sept. 30, 2008",12.70B
"June 30, 2008",11.65B
"March 31, 2008",10.08B
"Dec. 31, 2007",9.498B
"Sept. 30, 2007",9.937B
"June 30, 2007",9.965B
"March 31, 2007",9.624B
"Dec. 31, 2006",18.12B
"Sept. 30, 2006",18.68B
"June 30, 2006",18.57B
"March 31, 2006",14.60B
"Dec. 31, 2005",14.55B
"Sept. 30, 2005",15.06B
"June 30, 2005",16.36B
"March 31, 2005",16.93B
"Dec. 31, 2004",16.93B
"Sept. 30, 2004",17.10B
"June 30, 2004",19.18B
"March 31, 2004",20.03B
"Dec. 31, 2003",20.62B
"Sept. 30, 2003",22.49B
"June 30, 2003",21.10B
"March 31, 2003",20.48B
"Dec. 31, 2002",20.22B
"Sept. 30, 2002",19.58B
"June 30, 2002",18.32B
"March 31, 2002",18.32B
"Dec. 31, 2001",12.32B
"Sept. 30, 2001",12.13B
"June 30, 2001",12.36B
"March 31, 2001",12.27B
"Dec. 31, 2000",10.72B
"Sept. 30, 2000",10.58B
"June 30, 2000",8.903B
"March 31, 2000",8.962B
"Dec. 31, 1999",8.683B
"Sept. 30, 1999",8.092B
"June 30, 1999",6.082B
"March 31, 1999",6.164B
"Dec. 31, 1998",6.272B
"Sept. 30, 1998",6.614B
"June 30, 1998",6.420B
"March 31, 1998",6.750B
"Dec. 31, 1997",6.53B
"Sept. 30, 1997",6.01B
"June 30, 1997",5.643B
"March 31, 1997",3.588B
"Dec. 31, 1996",5.485B
"Sept. 30, 1996",3.604B
"June 30, 1996",3.649B
"March 31, 1996",3.714B
"Dec. 31, 1995",3.711B
"Sept. 30, 1995",3.695B
"June 30, 1995",3.588B
"March 31, 1995",3.573B
"Dec. 31, 1994",3.567B
"Sept. 30, 1994",3.407B
"June 30, 1994",3.392B
"March 31, 1994",3.246B
