date,altman_z_score
"Dec. 31, 2019",1.044
"Sept. 30, 2019",1.054
"June 30, 2019",1.002
"March 31, 2019",0.9517
"Dec. 31, 2018",0.9285
"Sept. 30, 2018",0.9313
"June 30, 2018",0.9149
"March 31, 2018",0.917
"Dec. 31, 2017",0.975
"Sept. 30, 2017",1.085
"June 30, 2017",1.057
"March 31, 2017",1.066
"Dec. 31, 2016",1.022
"Sept. 30, 2016",1.073
"June 30, 2016",1.131
"March 31, 2016",1.116
"Dec. 31, 2015",1.048
"Sept. 30, 2015",1.065
"June 30, 2015",1.019
"March 31, 2015",1.045
"Dec. 31, 2014",1.057
"Sept. 30, 2014",1.008
"June 30, 2014",1.037
"March 31, 2014",1.021
"Dec. 31, 2013",0.9445
"Sept. 30, 2013",0.8865
"June 30, 2013",0.9105
"March 31, 2013",0.8649
"Dec. 31, 2012",0.7697
"Sept. 30, 2012",0.7254
"June 30, 2012",0.685
"March 31, 2012",0.8853
"Dec. 31, 2011",0.8915
"Sept. 30, 2011",0.9711
"June 30, 2011",1.019
"March 31, 2011",1.053
"Dec. 31, 2010",1.004
"Sept. 30, 2010",0.9864
"June 30, 2010",0.9447
"March 31, 2010",0.9923
"Dec. 31, 2009",0.9803
"Sept. 30, 2009",0.9641
"June 30, 2009",0.9523
"March 31, 2009",0.9083
"Dec. 31, 2008",0.8642
"Sept. 30, 2008",0.995
"June 30, 2008",0.9872
"March 31, 2008",0.9672
"Dec. 31, 2007",1.146
"Sept. 30, 2007",1.148
"June 30, 2007",1.146
"March 31, 2007",1.263
"Dec. 31, 2006",1.142
"Sept. 30, 2006",1.043
"June 30, 2006",0.9834
"March 31, 2006",0.8742
"Dec. 31, 2005",0.8003
"Sept. 30, 2005",0.7058
"June 30, 2005",0.8107
"March 31, 2005",0.8219
"Dec. 31, 2004",0.9312
"Sept. 30, 2004",0.9858
"June 30, 2004",0.9963
"March 31, 2004",0.9871
"Dec. 31, 2003",0.9768
"Sept. 30, 2003",1.046
"June 30, 2003",1.017
"March 31, 2003",1.038
"Dec. 31, 2002",0.9455
"Sept. 30, 2002",0.7686
"June 30, 2002",0.7953
"March 31, 2002",0.8086
"Dec. 31, 2001",0.9098
"Sept. 30, 2001",1.123
"June 30, 2001",1.198
"March 31, 2001",1.032
"Dec. 31, 2000",0.9859
"Sept. 30, 2000",0.9374
"June 30, 2000",0.8925
"March 31, 2000",0.8776
"Dec. 31, 1999",0.9174
"Sept. 30, 1999",-0.0036
"June 30, 1999",0.2252
"March 31, 1999",0.1798
"Dec. 31, 1998",0.4538
"Sept. 30, 1998",0.4392
"June 30, 1998",0.4609
"March 31, 1998",0.3753
"Dec. 31, 1997",0.3554
"Sept. 30, 1997",1.149
"June 30, 1997",0.8854
"March 31, 1997",0.9039
"Dec. 31, 1996",0.7089
"Sept. 30, 1996",0.8512
"June 30, 1996",0.8892
"March 31, 1996",0.9943
"Dec. 31, 1995",1.022
"Sept. 30, 1995",1.01
"June 30, 1995",0.9638
"March 31, 1995",0.9602
"Dec. 31, 1994",0.9621
"Sept. 30, 1994",
"June 30, 1994",1.403
"March 31, 1994",1.602
