date,return_on_assets
"Dec. 31, 2019",-1.70%
"Sept. 30, 2019",-1.63%
"June 30, 2019",-5.74%
"March 31, 2019",-5.38%
"Dec. 31, 2018",-6.60%
"Sept. 30, 2018",-9.64%
"June 30, 2018",-2.72%
"March 31, 2018",-2.63%
"Dec. 31, 2017",-2.33%
"Sept. 30, 2017",1.27%
"June 30, 2017",1.43%
"March 31, 2017",1.83%
"Dec. 31, 2016",1.78%
"Sept. 30, 2016",2.46%
"June 30, 2016",2.34%
"March 31, 2016",1.39%
"Dec. 31, 2015",-1.04%
"Sept. 30, 2015",-1.17%
"June 30, 2015",-0.98%
"March 31, 2015",-0.21%
"Dec. 31, 2014",2.33%
"Sept. 30, 2014",2.03%
"June 30, 2014",1.97%
"March 31, 2014",1.90%
"Dec. 31, 2013",1.96%
"Sept. 30, 2013",2.05%
"June 30, 2013",2.08%
"March 31, 2013",2.04%
"Dec. 31, 2012",1.95%
"Sept. 30, 2012",1.88%
"June 30, 2012",1.82%
"March 31, 2012",1.89%
"Dec. 31, 2011",1.93%
"Sept. 30, 2011",2.01%
"June 30, 2011",1.85%
"March 31, 2011",1.75%
"Dec. 31, 2010",1.53%
"Sept. 30, 2010",1.31%
"June 30, 2010",1.36%
"March 31, 2010",1.30%
"Dec. 31, 2009",1.41%
"Sept. 30, 2009",1.48%
"June 30, 2009",1.69%
"March 31, 2009",1.96%
"Dec. 31, 2008",2.12%
"Sept. 30, 2008",2.51%
"June 30, 2008",2.72%
"March 31, 2008",2.85%
"Dec. 31, 2007",3.00%
"Sept. 30, 2007",3.06%
"June 30, 2007",3.04%
"March 31, 2007",3.04%
"Dec. 31, 2006",3.06%
"Sept. 30, 2006",2.64%
"June 30, 2006",2.56%
"March 31, 2006",2.45%
"Dec. 31, 2005",2.34%
"Sept. 30, 2005",2.67%
"June 30, 2005",2.56%
"March 31, 2005",2.49%
"Dec. 31, 2004",2.48%
"Sept. 30, 2004",2.39%
"June 30, 2004",2.39%
"March 31, 2004",2.49%
"Dec. 31, 2003",2.50%
"Sept. 30, 2003",2.29%
"June 30, 2003",2.44%
"March 31, 2003",2.65%
"Dec. 31, 2002",2.65%
"Sept. 30, 2002",2.93%
"June 30, 2002",2.90%
"March 31, 2002",2.91%
"Dec. 31, 2001",3.01%
"Sept. 30, 2001",3.02%
"June 30, 2001",3.04%
"March 31, 2001",2.95%
"Dec. 31, 2000",3.00%
"Sept. 30, 2000",2.97%
"June 30, 2000",2.93%
"March 31, 2000",2.88%
"Dec. 31, 1999",2.86%
"Sept. 30, 1999",2.86%
"June 30, 1999",2.85%
"March 31, 1999",2.84%
"Dec. 31, 1998",2.86%
"Sept. 30, 1998",2.89%
"June 30, 1998",2.91%
"March 31, 1998",2.91%
"Dec. 31, 1997",2.91%
"Sept. 30, 1997",2.92%
"June 30, 1997",2.93%
"March 31, 1997",2.94%
"Dec. 31, 1996",2.98%
"Sept. 30, 1996",3.04%
"June 30, 1996",3.08%
"March 31, 1996",3.12%
"Dec. 31, 1995",3.16%
"Sept. 30, 1995",2.57%
"June 30, 1995",2.35%
"March 31, 1995",2.13%
"Dec. 31, 1994",1.92%
"Sept. 30, 1994",2.14%
"June 30, 1994",2.12%
"March 31, 1994",2.12%
"Dec. 31, 1993",2.31%
"Sept. 30, 1993",2.35%
"June 30, 1993",2.41%
"March 31, 1993",2.45%
"Dec. 31, 1992",2.52%
"Sept. 30, 1992",1.56%
"June 30, 1992",1.60%
"March 31, 1992",1.61%
"Dec. 31, 1991",1.63%
"Sept. 30, 1991",2.82%
"June 30, 1991",2.94%
"March 31, 1991",3.03%
"Dec. 31, 1990",3.12%
"Sept. 30, 1990",3.21%
"June 30, 1990",3.26%
"March 31, 1990",3.22%
"Dec. 31, 1989",3.25%
"Sept. 30, 1989",3.18%
