date,cash_operations_ttm
"Dec. 31, 2019",6.897B
"Sept. 30, 2019",5.842B
"June 30, 2019",6.249B
"March 31, 2019",6.432B
"Dec. 31, 2018",6.434B
"Sept. 30, 2018",7.047B
"June 30, 2018",6.576B
"March 31, 2018",6.162B
"Dec. 31, 2017",5.966B
"Sept. 30, 2017",5.836B
"June 30, 2017",5.983B
"March 31, 2017",6.119B
"Dec. 31, 2016",5.498B
"Sept. 30, 2016",5.419B
"June 30, 2016",5.592B
"March 31, 2016",5.417B
"Dec. 31, 2015",5.519B
"Sept. 30, 2015",5.374B
"June 30, 2015",4.88B
"March 31, 2015",4.813B
"Dec. 31, 2014",5.08B
"Sept. 30, 2014",4.93B
"June 30, 2014",4.767B
"March 31, 2014",4.682B
"Dec. 31, 2013",4.335B
"Sept. 30, 2013",4.016B
"June 30, 2013",3.945B
"March 31, 2013",3.662B
"Dec. 31, 2012",3.517B
"Sept. 30, 2012",3.645B
"June 30, 2012",3.307B
"March 31, 2012",3.472B
"Dec. 31, 2011",2.833B
"Sept. 30, 2011",2.401B
"June 30, 2011",3.065B
"March 31, 2011",3.017B
"Dec. 31, 2010",4.203B
"Sept. 30, 2010",4.489B
"June 30, 2010",4.312B
"March 31, 2010",4.348B
"Dec. 31, 2009",3.946B
"Sept. 30, 2009",3.874B
"June 30, 2009",3.495B
"March 31, 2009",3.411B
"Dec. 31, 2008",3.791B
"Sept. 30, 2008",3.972B
"June 30, 2008",4.113B
"March 31, 2008",4.054B
"Dec. 31, 2007",3.911B
"Sept. 30, 2007",3.712B
"June 30, 2007",3.598B
"March 31, 2007",3.55B
"Dec. 31, 2006",3.211B
"Sept. 30, 2006",2.809B
"June 30, 2006",2.718B
"March 31, 2006",2.352B
"Dec. 31, 2005",2.442B
"Sept. 30, 2005",2.369B
"June 30, 2005",2.309B
"March 31, 2005",2.245B
"Dec. 31, 2004",2.253B
"Sept. 30, 2004",1.99B
"June 30, 2004",2.015B
"March 31, 2004",2.063B
"Dec. 31, 2003",2.199B
"Sept. 30, 2003",2.45B
"June 30, 2003",2.279B
"March 31, 2003",2.448B
"Dec. 31, 2002",2.38B
"Sept. 30, 2002",2.265B
"June 30, 2002",2.346B
"March 31, 2002",2.154B
"Dec. 31, 2001",1.996B
"Sept. 30, 2001",1.993B
"June 30, 2001",1.928B
"March 31, 2001",1.849B
"Dec. 31, 2000",1.989B
"Sept. 30, 2000",2.21B
"June 30, 2000",2.214B
"March 31, 2000",2.424B
"Dec. 31, 1999",2.374B
"Sept. 30, 1999",2.673B
"June 30, 1999",2.474B
"March 31, 1999",2.225B
"Dec. 31, 1998",1.974B
"Sept. 30, 1998",1.987B
"June 30, 1998",1.968B
"March 31, 1998",1.926B
"Dec. 31, 1997",1.934B
"Sept. 30, 1997",1.447B
"June 30, 1997",1.414B
"March 31, 1997",1.234B
"Dec. 31, 1996",1.196B
"Sept. 30, 1996",1.267B
"June 30, 1996",1.133B
"March 31, 1996",1.172B
"Dec. 31, 1995",1.216B
"Sept. 30, 1995",914.00M
"June 30, 1995",1.064B
"March 31, 1995",1.077B
"Dec. 31, 1994",1.043B
"Sept. 30, 1994",1.173B
"June 30, 1994",1.137B
"March 31, 1994",1.23B
"Dec. 31, 1993",1.18B
"Sept. 30, 1993",913.00M
"June 30, 1993",931.00M
"March 31, 1993",887.00M
"Dec. 31, 1992",1.069B
"Sept. 30, 1992",1.079B
"June 30, 1992",1.094B
"March 31, 1992",1.185B
"Dec. 31, 1991",750.00M
"Sept. 30, 1991",970.00M
"June 30, 1991",951.00M
"March 31, 1991",712.00M
"Dec. 31, 1990",1.002B
