date,shareholders_equity
"Dec. 31, 2019",18.49B
"Sept. 30, 2019",18.11B
"June 30, 2019",17.87B
"March 31, 2019",18.77B
"Dec. 31, 2018",18.18B
"Sept. 30, 2018",18.24B
"June 30, 2018",17.60B
"March 31, 2018",17.60B
"Dec. 31, 2017",16.50B
"Sept. 30, 2017",21.07B
"June 30, 2017",20.42B
"March 31, 2017",20.32B
"Dec. 31, 2016",19.37B
"Sept. 30, 2016",19.19B
"June 30, 2016",18.77B
"March 31, 2016",18.20B
"Dec. 31, 2015",18.28B
"Sept. 30, 2015",17.76B
"June 30, 2015",18.46B
"March 31, 2015",17.54B
"Dec. 31, 2014",17.66B
"Sept. 30, 2014",18.94B
"June 30, 2014",18.70B
"March 31, 2014",17.93B
"Dec. 31, 2013",17.47B
"Sept. 30, 2013",14.96B
"June 30, 2013",13.78B
"March 31, 2013",13.44B
"Dec. 31, 2012",12.98B
"Sept. 30, 2012",13.13B
"June 30, 2012",11.99B
"March 31, 2012",11.74B
"Dec. 31, 2011",10.81B
"Sept. 30, 2011",11.66B
"June 30, 2011",12.07B
"March 31, 2011",11.69B
"Dec. 31, 2010",10.67B
"Sept. 30, 2010",10.33B
"June 30, 2010",9.008B
"March 31, 2010",8.987B
"Dec. 31, 2009",8.861B
"Sept. 30, 2009",9.492B
"June 30, 2009",8.467B
"March 31, 2009",7.415B
"Dec. 31, 2008",7.187B
"Sept. 30, 2008",9.538B
"June 30, 2008",10.26B
"March 31, 2008",9.636B
"Dec. 31, 2007",9.222B
"Sept. 30, 2007",8.255B
"June 30, 2007",7.80B
"March 31, 2007",9.163B
"Dec. 31, 2006",9.72B
"Sept. 30, 2006",11.32B
"June 30, 2006",10.98B
"March 31, 2006",10.91B
"Dec. 31, 2005",10.76B
"Sept. 30, 2005",11.38B
"June 30, 2005",11.52B
"March 31, 2005",11.43B
"Dec. 31, 2004",11.25B
"Sept. 30, 2004",11.20B
"June 30, 2004",10.89B
"March 31, 2004",10.76B
"Dec. 31, 2003",10.73B
"Sept. 30, 2003",9.884B
"June 30, 2003",9.739B
"March 31, 2003",9.224B
"Dec. 31, 2002",8.925B
"Sept. 30, 2002",10.37B
"June 30, 2002",10.07B
"March 31, 2002",9.483B
"Dec. 31, 2001",9.17B
"Sept. 30, 2001",9.252B
"June 30, 2001",9.52B
"March 31, 2001",9.592B
"Dec. 31, 2000",9.707B
"Sept. 30, 2000",9.336B
"June 30, 2000",9.452B
"March 31, 2000",8.945B
"Dec. 31, 1999",8.599B
"Sept. 30, 1999",5.423B
"June 30, 1999",5.026B
"March 31, 1999",5.297B
"Dec. 31, 1998",8.083B
"Sept. 30, 1998",5.032B
"June 30, 1998",4.823B
"March 31, 1998",4.771B
"Dec. 31, 1997",4.386B
"Sept. 30, 1997",4.419B
"June 30, 1997",4.352B
"March 31, 1997",4.19B
"Dec. 31, 1996",4.18B
"Sept. 30, 1996",4.027B
"June 30, 1996",3.847B
"March 31, 1996",3.691B
"Dec. 31, 1995",3.592B
"Sept. 30, 1995",3.437B
"June 30, 1995",3.345B
"March 31, 1995",3.203B
"Dec. 31, 1994",2.982B
"Sept. 30, 1994",2.798B
"June 30, 1994",2.627B
"March 31, 1994",2.529B
"Dec. 31, 1993",2.39B
"Sept. 30, 1993",2.507B
"June 30, 1993",2.386B
"March 31, 1993",2.302B
"Dec. 31, 1992",2.251B
"Sept. 30, 1992",3.487B
"June 30, 1992",3.308B
"March 31, 1992",3.151B
"Dec. 31, 1991",2.983B
"Sept. 30, 1991",2.837B
"June 30, 1991",3.415B
"March 31, 1991",3.43B
"Dec. 31, 1990",3.38B
"Sept. 30, 1990",3.314B
"June 30, 1990",3.327B
"March 31, 1990",3.338B
"Dec. 31, 1989",3.412B
"Sept. 30, 1989",3.538B
"Dec. 31, 1988",3.268B
"Dec. 31, 1987",3.129B
"Dec. 31, 1986",3.67B
"Dec. 31, 1985",5.833B
"Dec. 31, 1984",2.747B
