date,ni_per_employee_annual
"Dec. 31, 2019",57953.49
"Dec. 31, 2018",49229.27
"Dec. 31, 2017",19928.93
"Dec. 31, 2016",46394.62
"Dec. 31, 2015",30294.12
"Dec. 31, 2014",31841.41
"Dec. 31, 2013",25370.21
"Dec. 31, 2012",22592.59
"Dec. 31, 2011",20823.53
"Dec. 31, 2010",21161.76
"Dec. 31, 2009",20790.21
"Dec. 31, 2008",22496.50
"Dec. 31, 2007",21664.29
"Dec. 31, 2006",18392.73
"Dec. 31, 2005",13773.58
"Dec. 31, 2004",9738.46
"Dec. 31, 2003",8258.82
"Dec. 31, 2002",4000.00
"Dec. 31, 2001",-8334.66
"Dec. 31, 2000",-3802.20
"Dec. 31, 1999",2448.72
"Dec. 31, 1998",5923.08
"Dec. 31, 1997",7162.53
"Dec. 31, 1996",7697.14
"Dec. 31, 1995",5748.00
