date,return_on_assets
"Dec. 31, 2019",8.35%
"Sept. 30, 2019",9.81%
"June 30, 2019",9.64%
"March 31, 2019",9.56%
"Dec. 31, 2018",10.33%
"Sept. 30, 2018",12.17%
"June 30, 2018",11.98%
"March 31, 2018",12.13%
"Dec. 31, 2017",11.94%
"Sept. 30, 2017",8.98%
"June 30, 2017",9.15%
"March 31, 2017",8.88%
"Dec. 31, 2016",8.80%
"Sept. 30, 2016",12.95%
"June 30, 2016",12.98%
"March 31, 2016",12.95%
"Dec. 31, 2015",12.93%
"Sept. 30, 2015",10.72%
"June 30, 2015",10.85%
"March 31, 2015",8.71%
"Dec. 31, 2014",8.45%
"Sept. 30, 2014",10.32%
"June 30, 2014",9.95%
"March 31, 2014",11.45%
"Dec. 31, 2013",11.67%
"Sept. 30, 2013",3.83%
"June 30, 2013",2.18%
"March 31, 2013",2.31%
"Dec. 31, 2012",2.17%
"Sept. 30, 2012",9.00%
"June 30, 2012",10.89%
"March 31, 2012",10.98%
"Dec. 31, 2011",10.98%
"Sept. 30, 2011",11.80%
"June 30, 2011",11.70%
"March 31, 2011",11.15%
"Dec. 31, 2010",10.17%
"Sept. 30, 2010",9.60%
"June 30, 2010",8.26%
"March 31, 2010",7.01%
"Dec. 31, 2009",6.63%
"Sept. 30, 2009",4.89%
"June 30, 2009",5.93%
"March 31, 2009",6.96%
"Dec. 31, 2008",8.13%
"Sept. 30, 2008",0.29%
"June 30, 2008",0.59%
"March 31, 2008",1.25%
"Dec. 31, 2007",1.10%
"Sept. 30, 2007",12.15%
"June 30, 2007",12.02%
"March 31, 2007",11.80%
"Dec. 31, 2006",12.08%
"Sept. 30, 2006",11.72%
"June 30, 2006",11.68%
"March 31, 2006",11.58%
"Dec. 31, 2005",11.43%
"Sept. 30, 2005",11.15%
"June 30, 2005",11.31%
"March 31, 2005",11.04%
"Dec. 31, 2004",10.88%
"Sept. 30, 2004",11.19%
"June 30, 2004",10.96%
"March 31, 2004",10.75%
"Dec. 31, 2003",10.47%
"Sept. 30, 2003",13.16%
"June 30, 2003",12.84%
"March 31, 2003",12.78%
"Dec. 31, 2002",12.52%
"Sept. 30, 2002",9.27%
"June 30, 2002",9.39%
"March 31, 2002",9.74%
"Dec. 31, 2001",10.28%
"Sept. 30, 2001",10.92%
"June 30, 2001",11.88%
"March 31, 2001",12.50%
"Dec. 31, 2000",13.57%
"Sept. 30, 2000",13.29%
"June 30, 2000",12.67%
