date,cash_financing_ttm
"Dec. 31, 2019",-6.618B
"Sept. 30, 2019",-7.663B
"June 30, 2019",-10.96B
"March 31, 2019",-14.75B
"Dec. 31, 2018",-19.45B
"Sept. 30, 2018",-15.78B
"June 30, 2018",-15.81B
"March 31, 2018",-17.63B
"Dec. 31, 2017",-15.13B
"Sept. 30, 2017",-20.04B
"June 30, 2017",-16.35B
"March 31, 2017",-13.06B
"Dec. 31, 2016",-9.293B
"Sept. 30, 2016",-2.134B
"June 30, 2016",-4.24B
"March 31, 2016",-5.659B
"Dec. 31, 2015",-7.037B
"Sept. 30, 2015",-6.253B
"June 30, 2015",-8.524B
"March 31, 2015",-10.93B
"Dec. 31, 2014",-17.89B
"Sept. 30, 2014",-23.26B
"June 30, 2014",-21.48B
"March 31, 2014",-16.60B
"Dec. 31, 2013",-15.48B
"Sept. 30, 2013",-19.02B
"June 30, 2013",-25.99B
"March 31, 2013",-32.43B
"Dec. 31, 2012",-33.87B
"Sept. 30, 2012",-33.19B
"June 30, 2012",-29.72B
"March 31, 2012",-29.64B
"Dec. 31, 2011",-28.26B
"Sept. 30, 2011",-31.64B
"June 30, 2011",-31.94B
"March 31, 2011",-29.05B
"Dec. 31, 2010",-26.92B
"Sept. 30, 2010",-20.39B
"June 30, 2010",-18.72B
"March 31, 2010",-21.80B
"Dec. 31, 2009",-27.28B
"Sept. 30, 2009",-34.79B
"June 30, 2009",-39.18B
"March 31, 2009",-42.78B
"Dec. 31, 2008",-44.03B
"Sept. 30, 2008",-42.03B
"June 30, 2008",-41.39B
"March 31, 2008",-40.19B
"Dec. 31, 2007",-38.34B
"Sept. 30, 2007",-39.01B
"June 30, 2007",-39.00B
"March 31, 2007",-37.71B
"Dec. 31, 2006",-36.21B
"Sept. 30, 2006",-34.10B
"June 30, 2006",-32.44B
"March 31, 2006",-29.94B
"Dec. 31, 2005",-26.94B
"Sept. 30, 2005",-25.53B
"June 30, 2005",-22.24B
"March 31, 2005",-20.10B
"Dec. 31, 2004",-18.27B
"Sept. 30, 2004",-15.83B
"June 30, 2004",-14.97B
"March 31, 2004",-14.99B
"Dec. 31, 2003",-14.76B
"Sept. 30, 2003",-13.31B
"June 30, 2003",-12.47B
"March 31, 2003",-11.01B
"Dec. 31, 2002",-11.35B
"Sept. 30, 2002",-12.11B
"June 30, 2002",-12.04B
"March 31, 2002",-14.66B
"Dec. 31, 2001",-15.04B
"Sept. 30, 2001",-15.91B
"June 30, 2001",-15.34B
"March 31, 2001",-12.77B
"Dec. 31, 2000",-14.16B
"Sept. 30, 2000",-11.73B
"June 30, 2000",-10.73B
"March 31, 2000",-9.027B
"Dec. 31, 1999",-4.779B
"Sept. 30, 1999",-4.293B
"June 30, 1999",-4.462B
"March 31, 1999",-5.881B
"Dec. 31, 1998",-7.136B
"Sept. 30, 1998",-10.38B
"June 30, 1998",-10.57B
"March 31, 1998",-10.50B
"Dec. 31, 1997",-9.579B
"Sept. 30, 1997",-6.097B
"June 30, 1997",-6.079B
"March 31, 1997",-5.364B
"Dec. 31, 1996",-5.239B
"Sept. 30, 1996",-6.193B
"June 30, 1996",-6.457B
"March 31, 1996",-7.171B
"Dec. 31, 1995",-7.136B
"Sept. 30, 1995",-6.573B
"June 30, 1995",-5.33B
"March 31, 1995",-4.102B
"Dec. 31, 1994",-4.234B
"Sept. 30, 1994",-4.204B
"June 30, 1994",-4.886B
"March 31, 1994",-4.893B
"Dec. 31, 1993",-5.28B
"Sept. 30, 1993",-4.359B
"June 30, 1993",-3.989B
"March 31, 1993",-3.567B
"Dec. 31, 1992",-3.123B
"Sept. 30, 1992",-3.088B
"June 30, 1992",-2.598B
"March 31, 1992",-3.823B
"Dec. 31, 1991",-4.557B
"Sept. 30, 1991",-6.496B
"June 30, 1991",-6.585B
"March 31, 1991",-6.823B
"Dec. 31, 1990",-6.033B
